model_f,language_f,prompt_category,foundation_f,n,activation_rate
Claude Opus 4.5,Japanese,migration_nationalism,Fairness/Cheating,15,0.6
Claude Opus 4.5,Japanese,religion_state,Fairness/Cheating,4,0.75
Claude Opus 4.5,Japanese,security_conflict,Fairness/Cheating,48,0.27083333333333337
Claude Opus 4.5,Japanese,social_moral,Fairness/Cheating,7,0.5714285714285714
Claude Opus 4.5,Japanese,territorial_sovereignty,Fairness/Cheating,15,0.8
Claude Opus 4.5,Indonesian,civil_rights_liberties,Fairness/Cheating,32,0.6875
Claude Opus 4.5,Indonesian,economic_policy,Fairness/Cheating,4,0.75
Claude Opus 4.5,Indonesian,environment_energy,Fairness/Cheating,4,0.75
Claude Opus 4.5,Indonesian,governance_democracy,Fairness/Cheating,22,0.7272727272727273
Claude Opus 4.5,Indonesian,migration_nationalism,Fairness/Cheating,15,0.4666666666666666
Claude Opus 4.5,Indonesian,religion_state,Fairness/Cheating,4,0.5
Claude Opus 4.5,Indonesian,security_conflict,Fairness/Cheating,47,0.3191489361702128
Claude Opus 4.5,Indonesian,social_moral,Fairness/Cheating,8,0.75
Claude Opus 4.5,Indonesian,territorial_sovereignty,Fairness/Cheating,15,0.8666666666666667
Claude Opus 4.5,Arabic,civil_rights_liberties,Fairness/Cheating,32,0.75
Claude Opus 4.5,Arabic,economic_policy,Fairness/Cheating,4,0.75
Claude Opus 4.5,Arabic,environment_energy,Fairness/Cheating,4,0.5
Claude Opus 4.5,Arabic,governance_democracy,Fairness/Cheating,23,0.8695652173913043
Claude Opus 4.5,Arabic,migration_nationalism,Fairness/Cheating,16,0.4375
Claude Opus 4.5,Arabic,religion_state,Fairness/Cheating,4,0.5
Claude Opus 4.5,Arabic,security_conflict,Fairness/Cheating,49,0.5102040816326531
Claude Opus 4.5,Arabic,social_moral,Fairness/Cheating,8,0.875
Claude Opus 4.5,Arabic,territorial_sovereignty,Fairness/Cheating,16,0.875
Claude Opus 4.5,English,civil_rights_liberties,Loyalty/Betrayal,32,0.0625
Claude Opus 4.5,English,economic_policy,Loyalty/Betrayal,4,0
Claude Opus 4.5,English,environment_energy,Loyalty/Betrayal,4,0
Claude Opus 4.5,English,governance_democracy,Loyalty/Betrayal,21,0.047619047619047616
Claude Opus 4.5,English,migration_nationalism,Loyalty/Betrayal,16,0.0625
Claude Opus 4.5,English,religion_state,Loyalty/Betrayal,4,0
Claude Opus 4.5,English,security_conflict,Loyalty/Betrayal,45,0.20000000000000004
Claude Opus 4.5,English,social_moral,Loyalty/Betrayal,8,0
Claude Opus 4.5,English,territorial_sovereignty,Loyalty/Betrayal,15,0
Claude Opus 4.5,Chinese,civil_rights_liberties,Loyalty/Betrayal,31,0.032258064516129045
Claude Opus 4.5,Chinese,economic_policy,Loyalty/Betrayal,4,0
Claude Opus 4.5,Chinese,environment_energy,Loyalty/Betrayal,4,0
Claude Opus 4.5,Chinese,governance_democracy,Loyalty/Betrayal,22,0
