n,outcome,events,rate,scope,rate_pp,model,language,jurisdiction,tier,domain,region_focus,measurement,uncertainty,canonical_run_id
28787,capability_failure,7025,0.24403376524125472,topic domain,24.403376524125473,NA,NA,NA,NA,migration_nationalism,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
28787,substantive_pivot,408,0.01417306423038177,topic domain,1.417306423038177,NA,NA,NA,NA,migration_nationalism,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
23036,genuine_refusal,759,0.03294842854662268,topic domain,3.294842854662268,NA,NA,NA,NA,religion_state,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
23036,capability_failure,4972,0.21583608265323842,topic domain,21.583608265323843,NA,NA,NA,NA,religion_state,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
23036,substantive_pivot,535,0.023224518145511373,topic domain,2.3224518145511373,NA,NA,NA,NA,religion_state,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
28793,genuine_refusal,1476,0.05126245962560345,topic domain,5.126245962560345,NA,NA,NA,NA,security_conflict,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
28793,capability_failure,7013,0.24356614454902234,topic domain,24.356614454902235,NA,NA,NA,NA,security_conflict,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
28793,substantive_pivot,1029,0.03573785295036988,topic domain,3.573785295036988,NA,NA,NA,NA,security_conflict,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12953,genuine_refusal,375,0.028950822203350574,topic domain,2.8950822203350572,NA,NA,NA,NA,social_moral,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12953,capability_failure,2964,0.22882729869528295,topic domain,22.882729869528294,NA,NA,NA,NA,social_moral,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
